ID,X-COORD,Y-COORD,NAME
Loc_0127143136,-2.58415336285841,42.625603920313665,
Loc_02044701607,-2.447576676169378,42.738454168072934,
Loc_01856190470,-2.5643346384970314,43.050848050873654,
Loc_1394959035,-2.905389380991545,42.80069804135228,
Loc_507455354,-2.9173279,42.7134489,
Loc_695966491,-2.4942658,42.9172923,
Loc_1551273145,-3.1277029342510176,43.1221189337164,
Loc_1235605667,-2.3169101,39.2718564,
Loc_0350777307,-2.3775161,39.1675126,
Loc_0350778109,-2.4262146,39.16022,
Loc_0350804054,-1.6610773,39.3035509,
Loc_0350891383,-1.9002516,38.7072062,
Loc_0350900187,-2.2375828,38.4679895,
Loc_0350952914,-1.4224494,38.7008174,
Loc_2011848220,-1.4955325,38.6264283,
Loc_2011825217,-2.027157,38.594484,
Loc_2011762566,-2.4981101,38.6672941,
Loc_2011646226,-1.6853895,38.5949657,
Loc_2011642382,-1.2915584,39.2450426,
Loc_2011616499,-2.3514416,39.2355381,
Loc_2011613586,-1.4434885,38.9628837,
Loc_2010927649,-1.8462141,38.4418322,
Loc_2010901480,-1.3609965,38.9254131,
Loc_2010873708,-2.1774111,38.3328386,
Loc_2010864905,-1.9536261,38.9038096,
Loc_2010864898,-2.2286526,38.3390224,
Loc_2010841154,-1.9192457,39.2578443,
Loc_2010779624,-1.6323569,38.5642837,
Loc_2010719912,-1.8958081,38.4486191,
Loc_2009949159,-2.104837,38.5380554,
Loc_2009944387,-1.9258766,38.7206778,
Loc_2009913785,-1.997197,38.71881,
Loc_2009769636,-2.3543165,38.957189,
Loc_2009116096,-2.2970262,38.735033,
Loc_2009116000,-2.2334171,38.4109582,
Loc_2009111296,-2.2297953,38.402324,
Loc_2009055401,-2.0030846,38.3439451,
Loc_2008130138,-1.9465194,38.5535599,
Loc_2007983051,-2.4116749,38.4935324,
Loc_754213961,-2.550028739220233,38.59468875264324,
Loc_0961070372,-1.9790748503268114,38.64706069322729,
Loc_0151723746,-1.661222790958874,39.30336231206746,
Loc_0988596374,-2.632643644356114,38.57228766558054,
Loc_01784179999,-1.3356948511189415,39.25642433902016,
Loc_02004888163,-2.239157394581716,38.46832515219493,
Loc_01797943000,-1.998525304839759,38.72557137220906,
Loc_547268798,-2.4117793463911616,38.67331437084618,
Loc_657622880,-1.723122151428405,39.210074435111565,
Loc_0197683774,-2.299317,38.1469156,
Loc_01100056530,-2.214884337904999,39.18140668556706,
Loc_0262077828,-1.4430615406707978,38.964028379735865,
Loc_01100056529,-2.192911336736043,39.23145898667553,
Loc_735779935,-0.9899501266847327,38.70767605249213,
Loc_1655480643,-2.0671529,39.2448291,
Loc_722016934,-2.604533196128581,38.70117865134414,
Loc_02018651164,-2.3192882,38.3679118,
Loc_01673825917,-1.231825194255888,38.95842947354666,
Loc_1480732507,-1.7276189,38.920753,
Loc_1609520615,-1.5541813,38.82686,
Loc_1434772479,-2.3450227193629822,38.598030109892285,
Loc_846134017,-2.1485909,38.8854867,
Loc_0238962453,-1.7986783639196258,39.01541143314155,
Loc_01039227427,-1.4615071989955224,38.83562510125728,
Loc_0238962452,-1.8956267730358216,38.925832899142264,
Loc_0238962455,-1.948094929259108,39.2001429096661,
Loc_0238962454,-1.6607094044504873,39.0584837808977,
Loc_0229880801,-2.3141131,38.7192692,
Loc_0238962449,-1.9708516833451883,39.012371928922775,
Loc_0238962451,-1.8813740940701678,38.95239520341155,
Loc_0243643802,-2.519058642798191,38.4555641139296,
Loc_0238962450,-1.8320196367406125,38.93284739988232,
Loc_01007030400,-1.9979470475604404,39.11824636679246,
Loc_767976962,-1.4319126784908733,38.69308798187055,
Loc_1499166533,-1.6876155344378994,38.59082111838398,
Loc_01163344510,-1.2588680074923149,39.22235214394154,
Loc_0818519263,-1.5440938,39.2086037,
Loc_689819907,-1.7141268946685588,39.280482409913354,
Loc_2013203961,-2.463499216565156,39.25279193905816,
Loc_2013203960,-2.4320785235856937,39.16393996459017,
